Case ID,Name,Age,Gender,Last Seen Location,Last Seen Date,Status,Contact Officer
MP2025001,Emily Rodriguez,83,Male,"North Jacob, NC",2025-04-05,Missing,Ofc. Suarez
MP2025002,Michael Fox,39,Female,"Davisland, OK",2025-04-16,Missing,Ofc. Walker
MP2025003,Seth Lee,40,Male,"East Christopher, GA",2025-04-28,Missing,Ofc. Jimenez
MP2025004,Matthew Herrera,82,Female,"Port Julia, NE",2025-04-19,Missing,Ofc. Kane
MP2025005,Dustin Cohen,56,Male,"West Samanthafurt, SD",2025-04-11,Missing,Ofc. Pierce
MP2025006,Jocelyn Salinas MD,80,Female,"Kristinshire, IN",2025-02-12,Missing,Ofc. Tyler
MP2025007,Tamara Duarte,31,Female,"North Douglaschester, OH",2025-02-12,Missing,Ofc. Moody
MP2025008,Andrew Harris,23,Female,"Frederickmouth, MO",2025-02-25,Missing,Det. Rice
MP2025009,Zachary Lewis,29,Male,"Port Tara, KY",2025-03-18,Found,Ofc. Howell
MP2025010,Patricia Martinez,5,Male,"Port Jasonview, NV",2025-03-15,Missing,Det. Lopez
MP2025011,Penny Neal,82,Female,"Lake Rachel, CA",2025-03-22,Found,Ofc. Howard
MP2025012,Michael Wright,52,Male,"Sarahborough, UT",2025-05-03,Missing,Ofc. Wilson
MP2025013,Steven Lawson,24,Female,"Coryhaven, DC",2025-03-25,Missing,Det. Miller
MP2025014,Robert Barrett,60,Female,"West James, WI",2025-02-15,Found,Det. Strong
MP2025015,Lori George,46,Male,"Robinsonmouth, MA",2025-03-06,Missing,Det. Perkins
MP2025016,Jordan Griffin,39,Female,"Dayborough, DC",2025-04-14,Missing,Ofc. Ware
MP2025017,Deanna Wade,64,Male,"Coxshire, NH",2025-02-22,Missing,Det. Mcdonald
MP2025018,Stacy Sanchez,76,Female,"West Samanthamouth, ME",2025-03-05,Missing,Ofc. Hale
MP2025019,Cheryl Gordon,71,Male,"Sullivanport, VA",2025-02-08,Missing,Det. Le
MP2025020,Kimberly Turner,46,Female,"Port Kaitlyn, NH",2025-02-25,Missing,Ofc. Gibson
MP2025021,Julia Rose,70,Female,"New Christophertown, WY",2025-03-20,Missing,Det. Keith
MP2025022,Lisa Warren,82,Female,"Jasonmouth, NC",2025-03-21,Found,Ofc. Brown
MP2025023,Mark Smith,50,Female,"Lake Taylor, WV",2025-02-04,Missing,Ofc. Olson
MP2025024,Tracy Zavala,8,Male,"South Patrickville, FL",2025-02-21,Missing,Det. Hicks
MP2025025,Michael Orozco MD,53,Male,"Glassstad, NM",2025-02-26,Found,Ofc. Morrison
MP2025026,Scott Stevens,7,Male,"Bradleyport, NJ",2025-04-08,Found,Det. Jones
MP2025027,Heather Luna,30,Male,"Sandraview, MT",2025-04-02,Missing,Det. Herrera
MP2025028,William Lang,70,Female,"South James, MT",2025-04-30,Found,Det. Carlson
MP2025029,Tara Ward,15,Male,"Lake Tommyton, MS",2025-03-24,Missing,Ofc. Baker
MP2025030,Tammy Dixon,6,Male,"West Laura, GA",2025-04-05,Found,Det. Chang
MP2025031,Jennifer Perez,81,Female,"Waltonfort, DE",2025-03-25,Missing,Ofc. Thomas
MP2025032,Joseph Stewart,82,Female,"Port Traceystad, PA",2025-02-01,Found,Ofc. Parker
MP2025033,Matthew Wilson,62,Female,"Scottbury, DC",2025-02-03,Found,Det. Scott
MP2025034,Jacob Tucker,84,Female,"South Gabrielle, MO",2025-04-18,Missing,Det. Taylor
MP2025035,Jared Lucero,30,Female,"Jessicaland, NE",2025-02-08,Missing,Det. Williams
MP2025036,Dana Santos,47,Male,"Johnsonchester, AZ",2025-03-23,Missing,Det. Bailey
MP2025037,Joy Perry,25,Female,"Johnland, NY",2025-04-25,Missing,Ofc. Malone
MP2025038,Monica Norton,31,Female,"West Stephen, MN",2025-02-02,Missing,Ofc. Moreno
MP2025039,Edward Long,18,Female,"Liufurt, ID",2025-02-10,Found,Det. Thomas
MP2025040,David Griffith,46,Female,"New Kristen, MN",2025-04-30,Missing,Det. Moore
MP2025041,Stephanie Kent,14,Male,"West Chelseyfurt, MD",2025-03-19,Found,Ofc. Mccormick
MP2025042,Tiffany Johnson,43,Female,"New Michellehaven, MT",2025-03-25,Missing,Ofc. Lewis
MP2025043,Bryan Andrade,7,Female,"Jeffersonbury, FL",2025-03-25,Missing,Det. Calhoun
MP2025044,Samantha Powell,45,Male,"West Nicholas, AK",2025-03-22,Found,Ofc. Moody
MP2025045,Kenneth Knapp,50,Male,"Melindachester, MI",2025-05-02,Missing,Det. Park
